92	0
882	2
1199	3
1438	5
1571	5
2086	8
2130	12
2937	19
3639	29
3770	31
3915	33
4035	35
4628	50
5067	61
5563	74
5844	97
5871	85
5895	87
6080	95
6119	98
6173	98
6485	105
6592	112
6599	108
6749	124
6795	118
7707	167
7710	157
7755	167
8023	174
8603	209
8857	216
9066	228
9567	253
9643	263
9706	266
11252	365
11410	376
11933	414
12114	423
12478	460
13095	510
13101	502
13133	589
13259	516
13541	544
13942	587
14558	770
14652	645
14919	661
14988	694
15593	726
16458	824
16648	846
16801	859
16930	868
17007	917
17074	900
17590	945
17606	946
18329	1040
18909	1098
19389	1160
19537	1184
19982	1241
20949	1370
22332	1578
22604	1590
22795	1610
23150	1704
23197	1690
23602	1770
23971	1830
24872	1971
24981	1964
25089	2001
25147	2003
25258	2015
25282	2230
25688	2089
25941	2189
26836	2260
27049	2489
27229	2542
27554	2576
28018	2566
28362	2806
28505	2621
29139	2811
29141	2723
29496	2798
29747	2910
29841	2937
30045	2908
30847	3096
31151	3232
31384	3236
31562	3494
31721	3247
32498	3993
