493000	69
232000	37
202000	31
52000	9
984000	145
819000	132
597000	88
404000	61
915000	129
70000	11
466000	67
861000	130
352000	87
334000	48
172000	25
281000	40
153000	23
213000	32
534000	76
321000	47
257000	42
750000	109
394000	57
37000	6
416000	58
729000	103
321000	48
376000	55
881000	126
658000	97
978000	149
268000	43
607000	94
226000	38
709000	111
779000	120
157000	27
828000	129
664000	103
876000	123
780000	111
472000	67
259000	38
466000	65
697000	100
550000	78
852000	129
922000	126
477000	67
362000	54
829000	117
522000	74
239000	34
759000	107
908000	146
625000	110
381000	59
284000	54
880000	136
131000	23
735000	118
106000	18
275000	45
433000	74
79000	14
669000	104
251000	41
653000	118
823000	136
615000	102
908000	132
6000	1
535000	77
562000	86
715000	105
432000	68
152000	23
176000	26
505000	73
845000	129
355000	52
120000	19
774000	110
795000	118
349000	53
855000	137
931000	188
278000	70
121000	24
429000	85
758000	147
435000	74
808000	127
621000	98
380000	55
150000	22
560000	80
452000	63
759000	107
383000	67
40000	6
609000	93
490000	73
759000	111
383000	55
40000	6
609000	88
490000	72
759000	107
383000	57
40000	6
303000	43
188000	27
44000	7
934000	130
81000	12
527000	73
396000	55
15000	3
637000	94
63000	11
303000	44
188000	31
44000	7
934000	131
81000	13
527000	76
396000	57
15000	3
637000	89
63000	10
240000	35
673000	96
17000	3
208000	31
342000	48
505000	73
912000	127
87000	13
386000	55
88000	16
655000	91
921000	128
565000	79
850000	116
410000	58
857000	118
540000	81
231000	35
411000	62
669000	94
146000	23
825000	120
275000	40
248000	36
645000	89
921000	128
234000	34
95000	15
451000	66
784000	119
224000	34
416000	58
34000	5
307000	44
916000	132
187000	31
734000	107
142000	21
324000	48
227000	33
730000	102
673000	95
839000	115
971000	141
480000	67
872000	124
468000	65
816000	113
53000	10
633000	89
624000	88
840000	118
342000	49
716000	101
433000	69
860000	119
250000	42
651000	92
271000	38
244000	37
181000	28
625000	92
475000	67
735000	102
697000	97
104000	15
93000	14
304000	43
70000	11
726000	101
556000	78
332000	46
664000	94
269000	40
327000	46
690000	96
991000	143
882000	124
180000	28
974000	134
500000	70
694000	96
148000	23
753000	107
226000	32
529000	77
481000	68
515000	71
461000	66
207000	38
62000	11
657000	92
622000	89
196000	32
222000	36
314000	50
141000	23
167000	28
58000	10
297000	49
53000	9
782000	121
262000	42
720000	111
89000	16
332000	52
428000	67
374000	59
380000	60
308000	44
584000	82
976000	143
345000	52
24000	4
289000	42
96000	14
569000	80
115000	17
933000	136
175000	26
555000	80
557000	78
393000	58
382000	59
815000	112
590000	87
193000	29
702000	98
672000	93
34000	6
271000	38
999000	137
869000	120
499000	71
290000	41
788000	111
169000	25
153000	23
232000	34
52000	9
500000	72
472000	66
205000	30
350000	54
918000	128
69000	11
119000	18
727000	100
335000	48
419000	61
512000	71
433000	63
421000	60
826000	118
634000	88
858000	121
426000	60
906000	126
201000	30
424000	59
917000	130
279000	39
315000	46
599000	86
165000	24
229000	33
556000	90
188000	32
590000	100
415000	63
998000	141
536000	79
77000	11
172000	26
273000	48
896000	156
283000	47
981000	157
216000	32
396000	63
437000	62
765000	108
549000	79
197000	31
753000	105
242000	36
166000	24
143000	22
409000	59
183000	28
613000	85
767000	111
299000	43
140000	21
178000	29
612000	93
234000	37
277000	39
825000	113
96000	15
979000	140
807000	111
0	0
575000	85
874000	121
811000	117
622000	90
996000	142
663000	96
693000	99
229000	34
20000	3
269000	40
882000	124
669000	93
314000	46
25000	4
287000	44
247000	36
935000	140
709000	98
778000	112
699000	97
464000	66
322000	47
681000	94
826000	118
463000	66
489000	68
324000	45
420000	60
160000	23
590000	84
629000	88
27000	4
225000	34
712000	99
456000	65
968000	133
200000	30
504000	72
801000	115
60000	9
18000	2
119000	19
715000	99
307000	46
361000	52
368000	52
598000	90
205000	30
449000	69
161000	24
219000	32
847000	123
395000	58
975000	138
519000	75
180000	27
905000	125
380000	54
313000	46
628000	88
201000	29
244000	34
985000	142
77000	12
163000	24
819000	116
722000	102
123000	18
275000	42
24000	4
278000	40
135000	21
470000	66
13000	2
76000	12
366000	59
38000	7
803000	111
272000	40
912000	126
678000	99
684000	94
910000	126
1000	0
75000	12
335000	51
995000	138
877000	124
454000	64
427000	81
156000	32
355000	53
567000	79
810000	118
680000	95
976000	137
221000	33
733000	101
987000	172
809000	117
632000	97
11000	2
794000	123
905000	139
421000	64
457000	71
428000	67
708000	109
109000	18
782000	119
437000	62
106000	19
385000	64
947000	132
81000	12
239000	34
121000	19
182000	27
886000	134
692000	100
231000	34
68000	10
933000	132
631000	89
702000	99
780000	116
248000	37
354000	52
531000	74
937000	135
757000	105
980000	138
586000	120
582000	158
614000	171
940000	154
861000	124
321000	46
626000	89
679000	99
370000	53
938000	130
605000	84
237000	35
540000	76
830000	118
624000	91
239000	35
750000	108
42000	6
825000	114
539000	79
130000	20
668000	94
121000	18
925000	141
292000	64
607000	96
437000	62
11000	2
252000	36
904000	127
300000	45
186000	29
714000	99
668000	96
